Brand,Processor,RAM (GB),Storage,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Price ($)
Acer,Intel i5,4,2TB SSD,Nvidia RTX 3060,14.0,2560x1440,11.1,2.71,macOS,1044.3
Dell,Intel i7,32,256GB SSD,Integrated,17.3,1920x1080,6.6,2.59,macOS,1580.52
MSI,Intel i9,4,2TB SSD,Nvidia RTX 3080,13.3,1920x1080,8.9,1.42,macOS,1816.38
Samsung,Intel i7,8,1TB SSD,Nvidia RTX 3080,14.0,2560x1440,8.0,1.69,Windows,1680.01
Microsoft,AMD Ryzen 3,16,2TB SSD,Nvidia GTX 1650,16.0,1366x768,10.1,3.42,Linux,876.96
MSI,AMD Ryzen 5,32,1TB HDD,Nvidia GTX 1650,17.3,2560x1440,5.2,3.33,Windows,2410.7
Apple,Intel i3,8,2TB SSD,Nvidia RTX 2060,15.6,1366x768,11.9,1.27,Linux,1295.36
Dell,AMD Ryzen 3,32,2TB SSD,Nvidia RTX 3080,15.6,2560x1440,6.4,3.15,macOS,1771.05
HP,Intel i3,8,2TB SSD,AMD Radeon RX 6800,15.6,1920x1080,8.3,2.55,Windows,867.62
Asus,Intel i7,4,1TB SSD,Nvidia RTX 2060,15.6,3840x2160,8.7,2.34,Windows,2028.42
Dell,Intel i3,32,1TB HDD,Nvidia RTX 2060,13.3,3840x2160,4.5,1.33,macOS,1866.6
Lenovo,AMD Ryzen 7,32,1TB SSD,Integrated,14.0,1920x1080,6.9,1.88,macOS,1495.05
Asus,AMD Ryzen 9,4,2TB SSD,Nvidia RTX 3060,16.0,2560x1440,8.1,1.79,Linux,2111.15
MSI,AMD Ryzen 5,16,256GB SSD,Nvidia RTX 3060,17.3,1366x768,4.5,2.32,Linux,1350.5
Lenovo,Intel i9,32,1TB SSD,Nvidia RTX 2060,17.3,1366x768,11.6,2.09,Linux,2418.08
MSI,AMD Ryzen 7,32,1TB HDD,Nvidia RTX 3060,13.3,1366x768,5.7,2.45,Linux,1668.69
MSI,AMD Ryzen 5,16,1TB HDD,AMD Radeon RX 6600,16.0,1920x1080,10.0,2.57,Windows,1528.78
MSI,Intel i9,64,1TB SSD,Nvidia RTX 2060,17.3,3840x2160,4.6,1.81,Linux,9419.75
Microsoft,Intel i5,16,512GB SSD,Nvidia GTX 1650,15.6,2560x1440,4.4,2.91,Windows,1600.55
Acer,Intel i9,16,512GB SSD,AMD Radeon RX 6600,15.6,1920x1080,6.4,1.82,Linux,2228.19
Microsoft,AMD Ryzen 3,16,256GB SSD,Nvidia RTX 2060,17.3,2560x1440,7.5,1.9,FreeDOS,1270.08
Microsoft,Intel i3,4,2TB SSD,Nvidia RTX 2060,14.0,1366x768,4.7,3.22,macOS,685.76
Microsoft,Intel i3,8,1TB HDD,Nvidia GTX 1650,14.0,2560x1440,10.4,3.06,Linux,1001.65
Razer,Intel i5,32,256GB SSD,AMD Radeon RX 6800,15.6,3840x2160,5.9,1.37,macOS,4061.45
Dell,AMD Ryzen 9,16,1TB HDD,AMD Radeon RX 6600,13.3,2560x1440,7.0,1.22,Linux,1985.16
HP,AMD Ryzen 5,4,1TB SSD,Nvidia RTX 3080,15.6,1920x1080,6.9,2.38,FreeDOS,1034.71
Asus,Intel i9,64,256GB SSD,Nvidia RTX 3080,16.0,1366x768,8.5,2.77,macOS,3722.11
Razer,Intel i3,32,1TB HDD,Nvidia RTX 3060,15.6,1366x768,10.3,1.29,Windows,1287.11
Asus,AMD Ryzen 7,8,512GB SSD,Nvidia RTX 3080,14.0,3840x2160,7.2,2.81,Linux,2174.23
Apple,AMD Ryzen 3,32,2TB SSD,AMD Radeon RX 6800,13.3,2560x1440,10.1,1.78,macOS,2357.93
Razer,AMD Ryzen 9,4,1TB HDD,Nvidia RTX 2060,14.0,1366x768,5.8,2.49,Windows,1557.32
Microsoft,AMD Ryzen 5,4,2TB SSD,AMD Radeon RX 6600,17.3,1366x768,7.1,1.3,Windows,731.74
Acer,Intel i7,32,2TB SSD,Nvidia GTX 1650,17.3,1920x1080,8.4,2.9,Windows,2064.5
HP,AMD Ryzen 3,64,256GB SSD,Nvidia GTX 1650,13.3,3840x2160,9.4,2.73,macOS,3434.58
Acer,AMD Ryzen 3,64,256GB SSD,Nvidia RTX 2060,17.3,1366x768,4.0,2.56,FreeDOS,1962.32
Apple,AMD Ryzen 9,32,1TB HDD,AMD Radeon RX 6800,13.3,2560x1440,9.0,2.79,macOS,4109.54
Acer,AMD Ryzen 3,4,512GB SSD,Nvidia RTX 2060,17.3,2560x1440,7.6,1.97,FreeDOS,1161.77
Microsoft,AMD Ryzen 5,8,1TB HDD,Nvidia RTX 3060,16.0,1920x1080,9.1,1.45,macOS,1063.58
Apple,Intel i9,32,2TB SSD,AMD Radeon RX 6600,15.6,2560x1440,10.3,1.86,Linux,5523.83
Lenovo,AMD Ryzen 3,4,256GB SSD,AMD Radeon RX 6800,16.0,1366x768,9.0,3.06,Linux,644.62
HP,Intel i3,16,1TB SSD,Nvidia RTX 2060,13.3,2560x1440,9.7,1.57,Windows,1122.74
Microsoft,Intel i7,32,1TB HDD,Nvidia RTX 3080,14.0,1366x768,10.7,1.32,Windows,1302.6
Apple,Intel i5,32,1TB SSD,Nvidia RTX 2060,16.0,3840x2160,6.3,1.89,Linux,4227.94
Microsoft,Intel i7,8,1TB HDD,Integrated,17.3,1920x1080,6.7,2.04,Windows,774.99
Asus,AMD Ryzen 7,8,2TB SSD,Nvidia GTX 1650,15.6,2560x1440,8.2,2.47,macOS,1666.71
Microsoft,Intel i5,64,256GB SSD,Nvidia RTX 3060,13.3,3840x2160,6.8,1.55,FreeDOS,4063.29
Apple,Intel i3,4,512GB SSD,Nvidia RTX 3060,13.3,2560x1440,9.3,2.59,macOS,1316.75
Lenovo,Intel i3,64,512GB SSD,AMD Radeon RX 6800,14.0,1366x768,11.9,2.82,Windows,1702.94
Razer,Intel i7,8,1TB HDD,AMD Radeon RX 6800,14.0,1366x768,7.4,2.7,Windows,1280.07
MSI,Intel i7,16,2TB SSD,Nvidia RTX 2060,13.3,3840x2160,9.2,2.5,Linux,3173.07
Samsung,Intel i9,64,1TB SSD,Nvidia RTX 3060,13.3,3840x2160,6.0,2.77,Windows,6606.93
MSI,AMD Ryzen 9,4,1TB SSD,Nvidia GTX 1650,16.0,1366x768,9.7,1.22,macOS,1759.66
Asus,AMD Ryzen 7,16,2TB SSD,AMD Radeon RX 6800,14.0,3840x2160,6.9,1.39,macOS,2352.23
Dell,Intel i7,8,512GB SSD,AMD Radeon RX 6800,14.0,3840x2160,6.9,3.23,Linux,2051.51
Samsung,AMD Ryzen 5,32,512GB SSD,Nvidia RTX 3080,17.3,3840x2160,5.0,3.22,Windows,2962.88
Acer,AMD Ryzen 7,32,256GB SSD,AMD Radeon RX 6600,15.6,1366x768,7.2,2.04,Windows,1829.73
HP,AMD Ryzen 9,4,256GB SSD,Nvidia RTX 3060,16.0,1366x768,8.0,2.8,FreeDOS,1257.71
Razer,Intel i5,64,1TB HDD,Nvidia RTX 3060,14.0,3840x2160,8.9,2.95,macOS,4514.07
Acer,Intel i3,64,1TB SSD,Nvidia GTX 1650,14.0,2560x1440,10.6,2.94,FreeDOS,2512.63
MSI,Intel i7,4,256GB SSD,Nvidia RTX 3060,14.0,3840x2160,6.2,2.46,Windows,2518.88
Apple,AMD Ryzen 7,64,256GB SSD,Nvidia RTX 3080,14.0,3840x2160,10.5,1.59,Windows,7318.12
MSI,Intel i5,16,256GB SSD,Integrated,17.3,1920x1080,4.7,3.15,FreeDOS,1237.48
Lenovo,Intel i9,4,1TB HDD,Nvidia RTX 3080,14.0,1920x1080,5.2,2.6,FreeDOS,1328.76
Microsoft,Intel i3,64,1TB SSD,Nvidia GTX 1650,15.6,1366x768,7.6,3.21,Linux,1748.25
Dell,Intel i3,8,256GB SSD,AMD Radeon RX 6800,15.6,2560x1440,7.2,2.17,Windows,1066.17
Microsoft,Intel i7,16,256GB SSD,Nvidia RTX 2060,16.0,1920x1080,7.0,1.24,macOS,1785.73
Acer,Intel i5,64,1TB SSD,Nvidia GTX 1650,17.3,1920x1080,9.7,2.81,FreeDOS,2614.64
Lenovo,AMD Ryzen 3,64,1TB HDD,Nvidia RTX 2060,13.3,1920x1080,7.1,3.2,Linux,1747.15
Samsung,Intel i9,4,512GB SSD,Integrated,16.0,3840x2160,9.7,2.7,Linux,1900.35
Apple,AMD Ryzen 5,4,256GB SSD,Nvidia RTX 3080,13.3,2560x1440,5.3,1.2,macOS,1664.92
Acer,Intel i9,64,1TB HDD,Nvidia RTX 2060,17.3,3840x2160,4.3,1.35,FreeDOS,6034.45
HP,AMD Ryzen 5,16,512GB SSD,AMD Radeon RX 6600,16.0,1366x768,8.9,1.75,Windows,1016.16
Acer,AMD Ryzen 3,16,1TB SSD,Integrated,16.0,1366x768,9.4,3.13,Windows,774.84
MSI,Intel i9,4,256GB SSD,Nvidia RTX 2060,15.6,1366x768,4.2,1.44,Windows,1785.27
Samsung,AMD Ryzen 7,32,512GB SSD,Integrated,13.3,1366x768,7.6,2.95,macOS,1221.84
Acer,AMD Ryzen 3,8,1TB HDD,Nvidia RTX 2060,16.0,3840x2160,9.7,2.43,macOS,1162.06
Razer,Intel i9,4,512GB SSD,Integrated,17.3,1366x768,11.3,2.79,Windows,1420.51
Razer,Intel i9,64,256GB SSD,AMD Radeon RX 6800,13.3,3840x2160,8.1,1.54,Linux,9056.57
Samsung,AMD Ryzen 3,32,1TB SSD,AMD Radeon RX 6600,15.6,1920x1080,8.2,1.62,Linux,1533.55
Apple,Intel i5,4,512GB SSD,Nvidia RTX 2060,17.3,3840x2160,4.3,2.47,Windows,2315.26
Razer,AMD Ryzen 7,64,256GB SSD,Nvidia RTX 3060,13.3,1366x768,6.6,2.43,Windows,3554.76
Razer,AMD Ryzen 3,8,256GB SSD,AMD Radeon RX 6600,15.6,1366x768,5.0,3.03,Windows,977.98
HP,AMD Ryzen 9,8,512GB SSD,Nvidia RTX 2060,14.0,1366x768,6.5,1.39,Linux,1431.67
Samsung,Intel i7,16,1TB HDD,Nvidia RTX 3080,15.6,2560x1440,7.7,1.74,macOS,1591.38
Dell,AMD Ryzen 5,16,1TB SSD,Integrated,16.0,1920x1080,10.4,1.45,FreeDOS,903.78
Dell,Intel i5,8,512GB SSD,Nvidia RTX 3060,15.6,2560x1440,8.1,2.02,FreeDOS,1446.51
Microsoft,Intel i5,8,256GB SSD,Nvidia RTX 3060,13.3,2560x1440,9.5,2.87,macOS,1144.23
Razer,AMD Ryzen 3,32,256GB SSD,Integrated,17.3,1920x1080,10.9,2.71,Windows,1504.23
Apple,AMD Ryzen 9,8,2TB SSD,Nvidia GTX 1650,15.6,2560x1440,11.5,3.25,Linux,3293.13
Dell,AMD Ryzen 9,4,1TB HDD,Nvidia GTX 1650,13.3,2560x1440,5.9,2.81,Windows,1713.59
Apple,AMD Ryzen 3,8,256GB SSD,Nvidia RTX 3060,16.0,2560x1440,8.2,2.2,Linux,1700.73
Lenovo,Intel i7,16,1TB HDD,AMD Radeon RX 6600,16.0,2560x1440,5.2,3.27,macOS,1701.09
Dell,Intel i9,8,512GB SSD,Nvidia GTX 1650,14.0,1920x1080,4.2,2.96,FreeDOS,1584.71
HP,Intel i9,32,256GB SSD,Nvidia RTX 3060,17.3,1366x768,5.6,1.99,Windows,2460.96
Asus,AMD Ryzen 3,32,1TB HDD,Nvidia RTX 3080,17.3,2560x1440,10.6,1.94,macOS,1542.33
Apple,Intel i3,4,1TB HDD,AMD Radeon RX 6600,13.3,1920x1080,8.4,2.02,FreeDOS,869.66
MSI,Intel i7,16,2TB SSD,Nvidia RTX 3060,14.0,2560x1440,4.2,1.32,Windows,2324.19
Acer,AMD Ryzen 5,64,2TB SSD,Nvidia RTX 2060,16.0,1920x1080,4.7,3.01,macOS,2601.73
MSI,AMD Ryzen 9,4,1TB HDD,Nvidia RTX 2060,17.3,2560x1440,6.1,2.86,macOS,2129.97
Acer,Intel i7,64,1TB SSD,Nvidia GTX 1650,14.0,2560x1440,11.4,3.2,FreeDOS,3815.29
Microsoft,AMD Ryzen 7,8,1TB HDD,AMD Radeon RX 6800,14.0,2560x1440,10.2,2.64,Linux,1302.86
HP,Intel i9,32,1TB SSD,Nvidia RTX 3060,13.3,2560x1440,7.7,2.8,FreeDOS,3365.29
Asus,Intel i3,64,2TB SSD,Nvidia RTX 3060,13.3,1920x1080,10.2,2.31,Windows,2106.28
Razer,Intel i5,32,256GB SSD,Nvidia GTX 1650,15.6,1366x768,5.3,2.49,macOS,1933.18
Microsoft,AMD Ryzen 7,64,1TB SSD,Integrated,14.0,1366x768,9.6,1.56,FreeDOS,1624.47
Apple,AMD Ryzen 3,64,2TB SSD,Nvidia RTX 3060,14.0,3840x2160,6.0,1.54,FreeDOS,4775.48
Asus,AMD Ryzen 5,64,2TB SSD,Nvidia RTX 2060,15.6,1366x768,11.9,1.3,Linux,2217.61
Apple,Intel i7,4,2TB SSD,Nvidia RTX 3080,16.0,1366x768,5.0,2.99,macOS,1702.14
Lenovo,AMD Ryzen 3,32,1TB SSD,Nvidia GTX 1650,16.0,3840x2160,5.7,2.89,Linux,2282.21
Dell,Intel i7,4,512GB SSD,Nvidia RTX 3060,15.6,2560x1440,11.1,1.82,Linux,1562.7
Apple,Intel i3,4,2TB SSD,Nvidia RTX 2060,15.6,1920x1080,6.5,1.86,macOS,1228.84
Apple,AMD Ryzen 3,8,256GB SSD,AMD Radeon RX 6600,17.3,3840x2160,6.4,2.25,macOS,2314.08
Acer,Intel i7,16,2TB SSD,Nvidia RTX 3080,15.6,1920x1080,10.0,2.17,macOS,1633.89
MSI,AMD Ryzen 3,64,512GB SSD,Nvidia RTX 3060,17.3,2560x1440,6.9,2.77,Linux,3483.61
Apple,Intel i3,4,256GB SSD,Nvidia GTX 1650,16.0,1920x1080,10.1,2.03,Linux,1209.38
Acer,Intel i5,16,256GB SSD,AMD Radeon RX 6600,15.6,2560x1440,7.9,3.25,Linux,1792.78
Microsoft,AMD Ryzen 9,64,1TB SSD,Nvidia RTX 3080,17.3,3840x2160,5.9,2.87,Linux,7194.87
Samsung,Intel i3,8,1TB HDD,Nvidia RTX 2060,17.3,3840x2160,7.5,2.48,Windows,1349.04
Lenovo,AMD Ryzen 3,8,1TB SSD,Nvidia GTX 1650,14.0,3840x2160,5.1,2.14,Linux,1438.6
Apple,AMD Ryzen 9,64,2TB SSD,Nvidia RTX 3080,13.3,1920x1080,4.9,3.06,Linux,5828.8
Asus,Intel i9,8,512GB SSD,Nvidia RTX 3060,13.3,1920x1080,8.6,2.58,Linux,1809.23
Asus,Intel i3,4,256GB SSD,AMD Radeon RX 6600,15.6,2560x1440,7.8,3.42,FreeDOS,1015.53
HP,Intel i3,32,2TB SSD,Nvidia RTX 3080,15.6,1920x1080,5.3,2.66,Linux,1401.59
Asus,Intel i9,64,256GB SSD,AMD Radeon RX 6800,15.6,1920x1080,5.2,2.29,Linux,4404.63
Acer,Intel i3,64,1TB SSD,Nvidia RTX 3080,14.0,2560x1440,7.9,1.57,macOS,2592.53
Apple,Intel i5,16,2TB SSD,Nvidia RTX 3080,16.0,1366x768,8.5,2.74,FreeDOS,1535.02
Asus,Intel i5,8,512GB SSD,Nvidia RTX 3060,17.3,1366x768,8.9,1.82,macOS,867.55
Lenovo,Intel i5,32,2TB SSD,Nvidia RTX 3060,14.0,2560x1440,4.8,2.65,FreeDOS,2047.5
HP,Intel i9,16,512GB SSD,AMD Radeon RX 6600,16.0,3840x2160,9.0,1.38,Linux,3480.51
Asus,Intel i7,4,2TB SSD,Nvidia RTX 3060,14.0,3840x2160,9.5,2.02,Windows,1886.14
HP,Intel i5,64,1TB HDD,Nvidia RTX 2060,15.6,1920x1080,6.0,2.07,Linux,2044.9
Lenovo,Intel i5,16,1TB HDD,Nvidia RTX 3080,15.6,1920x1080,6.4,1.59,Windows,1266.98
HP,AMD Ryzen 5,4,256GB SSD,Nvidia RTX 3060,16.0,2560x1440,9.9,3.29,FreeDOS,1165.27
Dell,Intel i5,4,1TB HDD,Nvidia RTX 3060,13.3,2560x1440,10.3,3.07,Linux,1013.29
HP,AMD Ryzen 9,32,1TB HDD,Integrated,16.0,1366x768,10.9,2.52,Linux,1440.35
MSI,Intel i3,16,2TB SSD,Nvidia GTX 1650,16.0,3840x2160,8.9,3.41,Windows,2240.9
Asus,AMD Ryzen 3,4,512GB SSD,AMD Radeon RX 6600,15.6,2560x1440,10.2,3.38,macOS,908.83
HP,Intel i7,64,2TB SSD,AMD Radeon RX 6800,13.3,2560x1440,4.5,2.58,Windows,3687.11
Samsung,AMD Ryzen 7,4,2TB SSD,AMD Radeon RX 6600,17.3,1366x768,9.5,3.28,Linux,940.51
Lenovo,AMD Ryzen 9,64,256GB SSD,Nvidia RTX 3060,16.0,1366x768,9.3,2.13,FreeDOS,3644.75
HP,Intel i3,64,256GB SSD,Nvidia RTX 3060,14.0,2560x1440,7.0,1.34,Windows,2552.2
Apple,AMD Ryzen 7,16,2TB SSD,Nvidia RTX 3060,14.0,1920x1080,6.4,2.5,macOS,2120.38
Apple,AMD Ryzen 7,4,256GB SSD,Integrated,13.3,1366x768,4.6,1.55,FreeDOS,833.28
HP,AMD Ryzen 7,8,512GB SSD,Integrated,15.6,3840x2160,4.7,2.16,Windows,1531.94
Acer,Intel i9,4,256GB SSD,Nvidia RTX 3080,14.0,1366x768,5.6,2.57,Linux,1120.06
Apple,Intel i7,32,256GB SSD,Nvidia RTX 3080,14.0,3840x2160,11.9,3.27,FreeDOS,4957.58
Samsung,AMD Ryzen 3,16,512GB SSD,Nvidia RTX 3080,13.3,1366x768,6.5,3.39,macOS,899.35
HP,Intel i3,4,2TB SSD,Nvidia RTX 2060,16.0,3840x2160,6.4,2.83,FreeDOS,1438.29
Razer,Intel i9,64,1TB HDD,Nvidia GTX 1650,16.0,1920x1080,7.9,2.45,Linux,5120.89
Acer,AMD Ryzen 5,16,512GB SSD,Nvidia RTX 2060,16.0,1366x768,8.6,2.1,Linux,1018.65
Samsung,AMD Ryzen 9,64,1TB SSD,Nvidia RTX 3080,14.0,3840x2160,8.9,2.77,Linux,6546.96
Lenovo,AMD Ryzen 5,8,2TB SSD,Nvidia RTX 3080,13.3,2560x1440,4.1,2.42,Windows,1140.05
HP,AMD Ryzen 9,16,1TB SSD,Nvidia RTX 2060,15.6,1366x768,6.2,2.74,FreeDOS,1798.09
HP,AMD Ryzen 3,4,2TB SSD,Nvidia RTX 3060,17.3,1366x768,9.3,1.75,Linux,674.5
HP,Intel i5,32,1TB SSD,Nvidia RTX 3060,13.3,1920x1080,4.9,3.03,Windows,1703.34
Asus,Intel i5,8,2TB SSD,Integrated,14.0,1366x768,9.1,1.99,macOS,735.0
HP,Intel i7,64,512GB SSD,Nvidia RTX 3060,17.3,1366x768,8.6,2.99,Linux,2677.87
Acer,Intel i5,32,256GB SSD,Integrated,13.3,2560x1440,5.6,2.14,FreeDOS,1252.63
Samsung,AMD Ryzen 3,64,1TB HDD,Nvidia RTX 3060,17.3,1366x768,10.2,3.04,macOS,1578.82
Acer,Intel i5,8,2TB SSD,Nvidia GTX 1650,14.0,3840x2160,6.2,2.63,Linux,1683.7
Razer,Intel i7,16,1TB HDD,Integrated,16.0,2560x1440,10.1,1.55,Windows,1460.46
Apple,AMD Ryzen 9,8,1TB HDD,Nvidia GTX 1650,13.3,3840x2160,4.9,2.72,FreeDOS,3560.45
Microsoft,AMD Ryzen 7,16,512GB SSD,Nvidia RTX 3080,16.0,1366x768,9.3,2.86,macOS,1268.61
Lenovo,Intel i3,64,1TB SSD,Integrated,13.3,1366x768,11.3,1.45,macOS,1183.91
HP,AMD Ryzen 7,32,256GB SSD,Nvidia RTX 3080,13.3,2560x1440,10.4,1.71,FreeDOS,2479.44
Apple,AMD Ryzen 9,32,256GB SSD,Nvidia RTX 3080,17.3,3840x2160,9.8,2.45,Windows,7115.5
Apple,Intel i3,32,2TB SSD,AMD Radeon RX 6800,16.0,1920x1080,7.5,1.22,Windows,2196.39
MSI,Intel i7,32,1TB SSD,Nvidia RTX 3060,17.3,2560x1440,11.9,3.4,Linux,3432.75
Asus,AMD Ryzen 3,64,1TB HDD,AMD Radeon RX 6800,15.6,3840x2160,11.1,3.06,macOS,3070.19
Razer,Intel i7,4,2TB SSD,Nvidia RTX 2060,13.3,3840x2160,4.2,2.87,Linux,2535.91
Apple,Intel i5,4,512GB SSD,AMD Radeon RX 6800,16.0,1366x768,8.3,3.38,FreeDOS,1312.12
Samsung,Intel i3,16,1TB SSD,Nvidia RTX 2060,16.0,1366x768,9.9,3.45,Windows,938.46
Dell,Intel i5,8,1TB HDD,Nvidia GTX 1650,15.6,1920x1080,10.9,2.69,FreeDOS,997.06
Dell,Intel i5,64,2TB SSD,Nvidia RTX 3080,17.3,2560x1440,7.2,1.56,Linux,3183.64
MSI,AMD Ryzen 7,32,1TB HDD,Nvidia RTX 3060,14.0,1920x1080,6.5,3.27,FreeDOS,2094.83
Dell,Intel i9,8,512GB SSD,Nvidia RTX 3080,14.0,2560x1440,6.0,3.23,FreeDOS,2162.2
Dell,AMD Ryzen 9,16,512GB SSD,Nvidia RTX 2060,13.3,2560x1440,5.1,2.43,FreeDOS,2344.09
Razer,AMD Ryzen 9,4,2TB SSD,Nvidia GTX 1650,16.0,1366x768,5.6,3.21,FreeDOS,2050.81
HP,AMD Ryzen 9,64,1TB HDD,Integrated,16.0,1920x1080,11.5,1.39,macOS,2489.15
Acer,AMD Ryzen 7,8,256GB SSD,AMD Radeon RX 6800,14.0,1366x768,11.9,3.13,Linux,1017.83
Lenovo,AMD Ryzen 3,8,1TB HDD,Nvidia RTX 3060,15.6,2560x1440,5.8,3.29,FreeDOS,910.44
HP,AMD Ryzen 5,32,1TB SSD,Nvidia RTX 3060,17.3,2560x1440,10.5,3.12,FreeDOS,2168.0
MSI,Intel i9,32,512GB SSD,Nvidia GTX 1650,13.3,2560x1440,5.3,2.91,macOS,4222.16
Asus,Intel i9,4,1TB HDD,AMD Radeon RX 6800,16.0,3840x2160,6.7,3.33,Windows,2169.37
Apple,Intel i7,16,256GB SSD,AMD Radeon RX 6600,16.0,3840x2160,9.0,1.7,macOS,3922.12
Razer,AMD Ryzen 3,16,1TB HDD,Nvidia RTX 3080,13.3,1920x1080,11.7,2.11,FreeDOS,1151.64
Microsoft,Intel i3,64,256GB SSD,Nvidia RTX 2060,15.6,3840x2160,5.8,2.85,FreeDOS,3490.54
Samsung,Intel i3,16,1TB SSD,AMD Radeon RX 6800,16.0,3840x2160,10.9,3.06,FreeDOS,1964.8
Razer,Intel i5,64,512GB SSD,AMD Radeon RX 6800,15.6,1366x768,8.6,2.67,Linux,2978.76
